genre,budget_million,director_score,cast_popularity,runtime_minutes,release_month,marketing_spend,is_sequel,box_office_hit
Thriller,19.18,7.39,39.09,92,10,16.67,1,0
Horror,27.48,7.57,69.31,96,1,7.42,0,1
Romance,75.32,4.02,82.44,117,10,13.64,0,1
Action,39.12,10.0,22.2,80,4,6.93,1,0
Fantasy,36.56,2.98,75.77,85,5,14.52,1,0
Comedy,108.64,5.66,85.11,167,11,12.73,0,1
Horror,60.57,1.41,42.95,167,6,4.91,1,0
Thriller,60.17,4.04,68.69,98,3,12.13,0,0
Comedy,38.91,4.26,54.09,148,11,5.87,1,0
Drama,32.11,8.54,67.87,154,3,13.69,0,1
Sci-Fi,1.0,9.39,89.1,115,5,8.54,0,1
Drama,79.06,6.48,25.22,159,12,0.0,1,0
Action,63.45,5.06,64.27,134,4,15.93,0,1
Horror,44.63,0.86,25.18,150,1,6.54,0,0
Sci-Fi,45.88,4.4,39.12,180,7,1.84,1,0
Sci-Fi,72.08,2.35,39.82,116,1,6.98,0,0
Action,3.36,4.67,0.0,89,12,13.43,1,0
Action,32.3,5.36,42.03,110,5,7.27,1,0
Horror,15.91,6.43,77.18,176,10,11.25,0,1
Action,103.15,5.62,54.9,140,5,8.38,1,1
Action,76.27,5.09,52.49,153,12,10.16,0,0
Horror,1.0,5.0,64.33,103,11,13.16,1,0
Fantasy,4.59,5.72,23.47,134,4,3.08,1,0
Romance,46.03,8.18,70.08,133,12,2.88,1,1
Thriller,35.83,7.36,13.32,105,9,6.75,1,0
Fantasy,10.27,4.67,66.71,143,4,17.67,1,1
Horror,108.34,5.34,56.11,113,6,19.16,1,1
Comedy,59.38,9.92,63.17,131,3,6.8,0,1
Sci-Fi,64.24,4.8,45.79,84,9,8.68,0,0
Drama,29.24,7.3,11.57,155,1,6.98,0,0
Drama,71.67,7.97,63.52,170,10,0.49,1,1
Comedy,38.59,6.05,56.66,153,2,8.7,1,0
Fantasy,41.5,4.7,46.63,146,12,6.62,0,0
Drama,68.33,2.25,63.77,171,3,9.88,1,0
Action,1.13,7.21,16.34,152,9,8.99,1,0
Comedy,97.91,6.46,64.76,103,12,16.3,1,1
Fantasy,55.47,4.55,45.96,115,2,9.96,1,0
Romance,88.43,7.09,75.82,120,7,4.0,0,1
Drama,17.74,6.28,51.81,119,4,6.94,0,0
Romance,22.31,4.46,44.82,89,7,13.99,0,0
Sci-Fi,15.14,3.15,62.74,82,10,12.08,1,0
Comedy,57.51,5.14,79.83,92,9,8.71,1,1
Romance,51.98,8.86,44.7,171,11,11.44,0,1
Action,36.07,7.35,67.43,88,8,12.07,1,1
Action,19.58,6.77,49.72,175,7,8.84,1,0
Romance,12.0,6.86,74.23,105,12,7.37,1,1
Comedy,48.55,4.31,70.61,157,6,8.01,0,0
Comedy,36.03,5.04,51.38,179,8,10.06,0,0
Thriller,29.43,6.13,65.8,142,2,9.34,0,0
Romance,96.41,5.88,50.7,165,8,6.98,1,1
Horror,47.53,3.88,68.37,82,12,15.78,0,0
Thriller,88.1,3.77,47.69,127,5,4.55,1,0
Action,34.0,5.84,31.9,123,3,10.26,1,0
Sci-Fi,57.34,5.01,30.07,153,5,3.65,0,0
Fantasy,48.34,5.45,54.83,127,6,12.03,1,0
Comedy,1.0,5.61,77.48,157,12,2.75,1,0
Action,92.85,8.8,42.78,138,4,9.91,1,1
Horror,45.95,5.09,49.74,107,4,5.28,0,0
Comedy,72.39,6.97,65.7,149,4,3.53,0,1
Romance,27.44,3.88,32.36,127,9,17.18,1,0
Thriller,45.05,8.77,78.97,165,12,12.89,1,1
Sci-Fi,23.99,9.51,73.53,123,3,14.23,0,1
Fantasy,87.08,5.22,74.03,114,5,14.34,0,1
Horror,59.34,3.49,51.99,111,6,10.44,1,0
Horror,61.01,2.54,43.4,122,10,10.51,0,0
Thriller,90.75,6.37,31.72,142,12,9.02,1,0
Comedy,84.69,5.4,44.37,157,8,12.35,0,1
Comedy,72.96,8.81,29.08,150,6,5.98,0,1
Sci-Fi,7.35,6.59,21.77,164,9,7.99,1,0
Sci-Fi,29.13,4.64,49.87,101,7,16.96,0,0
Horror,19.88,7.82,49.06,147,9,9.64,1,1
Comedy,71.83,1.82,88.91,152,11,7.98,0,0
Action,55.12,5.95,3.95,147,4,13.22,1,0
Sci-Fi,8.28,6.16,75.58,132,7,9.3,1,1
Action,44.34,6.99,68.47,99,1,5.22,1,1
Action,5.18,4.92,45.68,137,10,14.54,1,0
Horror,48.41,5.7,65.95,94,9,5.59,1,0
Action,1.0,4.96,81.38,174,12,7.81,0,0
Action,65.86,7.01,29.06,94,12,13.55,0,0
Thriller,61.34,7.49,28.36,119,7,6.64,0,0
Thriller,107.24,4.31,62.84,83,11,17.45,1,1
Romance,75.44,7.45,61.3,171,2,21.33,0,1
Sci-Fi,37.31,3.6,66.58,104,7,13.13,1,0
Comedy,74.54,5.5,38.37,138,4,8.25,0,0
Horror,8.07,7.78,58.55,179,12,13.11,0,1
Thriller,21.13,5.07,39.79,167,3,10.31,1,0
Fantasy,59.99,5.03,30.52,142,8,10.79,0,0
Fantasy,1.0,6.39,43.08,160,8,12.92,1,0
Action,48.89,0.0,28.11,109,10,5.17,0,0
Action,19.39,4.59,6.68,108,7,2.78,0,0
Action,53.04,5.22,37.6,174,5,8.67,1,0
Thriller,17.67,5.55,24.54,104,4,8.54,1,0
Romance,62.73,6.42,38.16,119,6,8.8,0,0
Romance,50.58,5.92,22.86,131,10,16.45,1,0
Sci-Fi,92.01,8.44,30.79,161,7,5.81,1,1
Thriller,50.2,9.5,52.13,174,10,12.03,0,1
Thriller,26.94,5.79,53.56,99,4,11.95,1,0
Romance,42.59,4.68,83.87,83,5,10.91,1,1
Thriller,9.67,8.5,37.66,161,8,5.79,1,0
Drama,62.18,5.48,81.02,97,8,16.93,0,1
Fantasy,67.7,4.72,56.89,154,6,10.22,1,0
Drama,124.08,7.62,25.14,139,10,10.6,0,1
Action,31.34,6.03,66.41,103,2,0.0,0,0
Fantasy,41.97,7.7,48.46,89,5,2.47,1,0
Comedy,32.73,4.58,81.65,168,2,5.8,0,0
Sci-Fi,56.36,5.44,84.31,165,5,10.21,0,1
Romance,61.45,7.69,40.75,138,2,14.96,1,1
Drama,48.4,1.58,51.51,127,6,16.18,0,0
Horror,82.59,5.06,15.26,84,3,10.6,0,0
Fantasy,31.49,8.02,20.45,174,5,11.37,1,0
Romance,79.59,5.5,64.19,142,5,10.71,1,1
Thriller,66.15,8.14,34.18,98,1,11.04,1,1
Horror,49.64,4.52,56.14,115,8,21.62,1,1
Comedy,40.55,6.49,51.97,111,11,11.46,1,1
Romance,122.8,5.41,43.55,87,5,8.16,0,0
Horror,25.49,2.73,31.83,110,3,11.35,1,0
Drama,58.94,5.33,44.66,168,6,15.33,1,1
Comedy,27.49,5.07,52.38,105,12,7.85,0,0
Fantasy,103.57,4.71,46.68,121,6,14.79,1,1
Sci-Fi,76.6,4.24,48.34,116,2,2.77,1,0
Romance,29.65,8.8,39.14,124,11,1.87,1,0
Comedy,65.38,4.64,43.2,150,7,8.25,0,0
Action,57.73,6.65,59.32,162,6,11.42,0,1
Comedy,34.5,5.75,39.64,154,5,5.09,1,0
Comedy,72.74,7.66,48.41,158,12,6.32,1,1
Horror,61.68,9.47,47.09,156,5,8.84,0,1
Romance,56.47,9.09,24.61,91,11,15.68,1,1
Fantasy,48.74,4.94,62.86,155,8,11.21,1,1
Comedy,62.93,7.12,78.15,120,11,14.54,1,1
Fantasy,56.88,8.36,93.3,84,4,11.79,1,1
Action,51.77,5.42,54.71,146,12,13.0,1,1
Fantasy,30.77,8.02,83.44,149,2,7.13,1,1
Fantasy,100.81,6.06,86.24,156,6,14.4,1,1
Sci-Fi,18.49,3.44,54.25,178,11,7.86,1,0
Fantasy,62.83,9.97,45.76,176,4,15.1,0,1
Drama,40.39,2.54,68.1,99,9,13.57,1,0
Fantasy,102.79,3.25,51.63,95,5,7.47,1,0
Horror,22.9,5.06,88.98,168,3,15.99,0,1
Thriller,27.94,7.84,45.75,91,1,17.48,1,1
Action,20.91,7.17,52.36,174,7,9.3,1,1
Comedy,59.7,9.79,49.4,91,7,15.32,1,1
Action,8.81,8.02,39.82,145,3,8.65,0,0
Horror,35.64,6.34,43.1,167,1,5.51,0,0
Comedy,1.0,8.43,74.95,100,12,15.11,0,1
Sci-Fi,57.21,5.44,74.55,137,7,5.79,0,1
Fantasy,34.99,6.24,22.9,100,2,6.24,0,0
Sci-Fi,5.36,5.02,46.22,179,3,17.15,0,0
Fantasy,82.57,8.15,79.12,160,6,5.38,1,1
Comedy,10.77,5.28,34.32,167,4,11.49,0,0
Action,73.91,3.35,24.21,110,6,11.22,0,0
Horror,28.97,3.33,50.22,133,6,10.83,0,0
Comedy,98.05,3.76,49.13,81,5,12.51,0,0
Drama,72.49,6.95,52.9,175,10,19.15,0,1
Comedy,19.76,5.66,71.21,142,6,7.46,0,0
Sci-Fi,22.49,6.04,65.88,142,12,16.95,1,1
Action,68.17,6.77,57.93,146,10,6.08,0,1
Action,42.13,7.01,38.79,90,5,3.12,0,0
Horror,44.92,5.34,60.68,151,9,9.63,1,0
Action,88.17,5.79,63.87,159,11,11.38,1,1
Comedy,27.54,5.07,45.58,168,7,0.75,1,0
Romance,52.74,6.71,81.03,151,8,8.18,1,1
Romance,78.64,5.78,30.64,101,2,16.26,0,0
Comedy,74.27,4.22,20.62,97,7,3.29,0,0
Sci-Fi,45.21,6.17,38.11,145,10,9.95,1,0
Sci-Fi,41.33,7.33,43.53,171,2,4.37,1,0
Thriller,1.0,9.51,41.38,148,3,6.22,0,0
Romance,18.31,3.63,87.24,140,3,5.82,1,0
Sci-Fi,59.55,3.41,74.54,103,11,13.64,1,1
Horror,45.86,3.12,80.26,165,3,9.18,1,0
Action,52.25,4.72,74.99,148,2,10.11,1,1
Horror,81.18,5.61,63.61,97,6,13.74,0,1
Sci-Fi,14.38,5.08,24.67,133,9,9.27,0,0
Sci-Fi,42.91,3.11,22.89,133,3,17.09,1,0
Fantasy,55.66,8.86,82.56,176,11,13.83,0,1
Fantasy,28.88,2.26,43.68,127,6,7.94,1,0
Comedy,92.94,9.54,62.62,161,1,12.58,0,1
Thriller,77.26,7.12,64.33,102,9,15.55,1,1
Thriller,58.7,8.85,90.15,125,9,18.53,1,1
Fantasy,103.83,4.01,57.53,124,11,3.12,1,0
Sci-Fi,5.03,5.28,41.9,96,7,6.25,1,0
Sci-Fi,49.77,5.58,76.74,107,11,15.56,1,1
Drama,60.99,5.09,38.77,105,1,13.75,1,0
Comedy,22.56,6.48,52.36,88,4,5.7,0,0
Fantasy,59.02,6.51,50.72,128,7,9.63,0,0
Thriller,16.8,4.22,43.68,142,10,11.65,0,0
Action,70.72,9.79,64.51,119,6,13.29,1,1
Action,81.74,3.77,85.09,82,7,17.75,1,1
Action,58.17,6.98,50.13,131,9,10.05,0,1
Thriller,1.0,6.5,54.11,156,7,10.96,1,0
Thriller,21.0,6.55,35.04,110,9,7.97,1,0
Action,66.94,1.03,46.36,155,12,15.14,0,0
Thriller,50.64,5.63,31.94,164,9,19.11,0,0
Drama,1.0,5.64,20.73,108,8,18.72,1,0
Comedy,87.28,6.75,28.85,121,9,10.7,1,0
Thriller,54.1,3.34,63.4,167,1,5.54,1,0
Romance,25.43,6.65,38.47,138,9,14.76,0,0
Horror,79.85,7.64,60.61,95,10,20.54,0,1
Comedy,29.67,7.34,46.92,139,6,8.02,1,0
Thriller,29.35,6.08,59.37,83,1,7.83,0,0
Romance,60.75,8.38,53.12,128,1,16.61,1,1
Drama,103.43,7.8,67.34,131,8,12.23,1,1
Romance,98.71,4.61,65.51,163,9,15.56,0,1
Action,60.79,6.4,44.25,151,9,4.81,0,0
Sci-Fi,63.87,7.99,41.11,158,6,3.36,1,1
Horror,73.74,9.28,63.17,82,10,12.8,0,1
Fantasy,12.29,4.77,42.97,144,6,5.23,1,0
Drama,69.32,4.28,65.56,102,2,10.43,1,1
Romance,27.98,3.95,36.74,164,8,17.87,0,0
Drama,59.55,3.44,48.08,91,6,2.52,0,0
Drama,43.18,6.05,53.46,86,3,7.94,1,0
Comedy,65.04,4.72,68.48,91,12,14.48,1,1
Horror,53.54,7.19,51.1,161,12,11.7,1,1
Drama,1.0,4.83,46.67,147,6,16.38,0,0
Comedy,55.37,3.77,62.99,87,12,4.54,1,0
Fantasy,69.26,7.94,42.62,166,7,2.25,0,0
Sci-Fi,63.38,5.93,59.52,116,2,1.1,0,0
Horror,46.92,7.71,58.06,129,4,12.69,0,1
Drama,99.26,5.01,74.78,106,6,9.93,1,1
Drama,59.34,9.49,47.56,97,8,8.19,0,1
Sci-Fi,63.13,6.74,53.39,175,12,11.62,1,1
Sci-Fi,81.33,3.8,44.36,136,2,8.16,0,0
Drama,60.88,2.74,46.24,173,7,13.72,0,0
Sci-Fi,23.06,6.62,67.93,162,6,6.45,1,1
Action,1.0,6.88,46.09,121,10,17.53,0,0
Comedy,35.69,7.44,44.14,113,8,10.72,1,0
Horror,72.83,2.44,70.62,90,5,18.13,1,1
Drama,39.41,2.5,35.46,111,5,13.15,1,0
Thriller,74.04,2.4,45.29,108,1,6.08,0,0
Thriller,54.46,4.15,6.38,179,6,6.89,1,0
Sci-Fi,88.64,7.23,43.45,174,7,14.64,0,1
Drama,41.14,6.04,39.51,159,3,4.2,1,0
Romance,64.03,2.61,39.35,142,12,8.98,0,0
Comedy,65.18,2.97,55.35,85,3,5.97,1,0
Action,95.05,6.68,39.14,89,12,7.35,1,1
Comedy,1.0,8.3,46.78,86,9,10.55,1,0
Thriller,36.25,7.04,60.2,138,10,9.02,0,1
Comedy,75.46,9.12,62.8,106,5,12.88,1,1
Action,96.38,6.81,45.19,135,4,0.0,1,0
Fantasy,57.2,9.08,42.83,129,9,6.8,0,1
Romance,41.22,10.0,31.76,91,7,18.82,1,1
Thriller,72.71,5.61,15.83,125,3,9.67,0,0
Comedy,76.06,7.44,46.85,81,5,12.27,1,1
Romance,39.21,1.7,56.42,99,4,15.75,1,0
Thriller,59.91,7.47,40.7,142,10,13.2,0,1
Drama,85.42,3.88,57.58,172,10,16.93,1,1
Action,106.71,7.24,68.44,129,2,12.77,1,1
Action,72.28,5.12,64.17,82,3,7.71,1,1
Sci-Fi,51.32,6.91,62.36,108,1,10.07,0,1
Romance,48.38,3.64,53.78,154,10,11.72,0,0
Horror,66.72,5.3,53.62,139,2,1.27,1,0
Sci-Fi,46.53,7.52,68.49,175,8,10.09,0,1
Comedy,55.69,6.73,41.73,144,6,9.51,0,0
Sci-Fi,18.26,2.13,55.37,111,9,1.64,0,0
Fantasy,88.91,5.72,0.0,136,12,17.44,1,0
Comedy,15.79,4.75,38.9,153,10,14.36,0,0
Romance,37.04,4.01,62.87,127,2,16.6,1,0
Action,52.93,4.58,45.51,180,2,9.98,0,0
Action,109.73,7.55,60.3,87,9,0.17,1,1
Fantasy,37.32,9.13,68.08,160,1,10.31,1,1
Drama,30.02,7.24,68.09,116,11,11.53,1,1
Sci-Fi,33.48,4.74,43.07,176,11,10.63,1,0
Fantasy,99.77,6.1,47.97,120,11,13.36,0,1
Action,1.0,6.09,24.94,86,1,0.0,0,0
Thriller,19.92,7.83,41.29,96,8,13.51,0,0
Fantasy,131.94,6.05,60.25,152,9,6.26,1,1
Drama,67.73,7.23,34.38,104,6,10.35,1,0
Thriller,16.82,6.13,55.18,168,1,19.74,1,1
Action,48.74,7.07,46.78,122,4,1.38,0,0
Drama,52.02,7.8,19.15,116,7,2.74,0,0
Fantasy,75.38,3.83,66.29,154,4,18.86,0,1
Thriller,105.19,5.68,57.07,154,6,11.66,0,1
Action,61.66,5.5,66.55,100,6,6.21,1,1
Comedy,33.81,7.54,35.49,118,11,5.57,1,0
Comedy,73.61,5.96,62.97,135,12,9.14,0,1
Horror,29.05,4.52,47.12,139,6,12.12,0,0
Comedy,19.0,5.14,61.82,154,8,13.42,0,0
Horror,1.0,6.29,38.13,124,5,13.46,0,0
Comedy,3.05,7.2,48.21,162,11,4.03,0,0
Drama,23.11,4.6,58.52,97,6,6.17,1,0
Horror,14.67,4.88,40.45,154,6,10.25,0,0
Fantasy,59.4,4.8,38.72,132,9,9.17,0,0
Horror,14.02,4.88,34.14,174,9,15.06,1,0
Drama,1.0,5.16,41.48,175,7,5.93,1,0
Romance,18.68,6.77,66.97,96,10,9.76,1,1
Action,35.84,7.86,46.54,180,3,7.09,1,1
Drama,31.84,4.84,30.75,87,10,12.75,1,0
Sci-Fi,95.59,2.54,27.95,105,2,9.93,0,0
Sci-Fi,31.59,6.57,54.52,161,5,14.56,1,1
Sci-Fi,76.43,2.83,3.91,92,6,0.0,0,0
Romance,49.43,8.66,57.68,152,8,15.86,1,1
Thriller,48.73,5.82,37.05,136,4,8.42,1,0
Drama,24.94,6.39,17.28,98,6,4.77,0,0
Thriller,48.24,8.05,53.8,162,8,7.2,0,1
Horror,27.05,5.46,1.14,136,1,12.0,1,0
Drama,55.1,6.75,49.02,154,11,13.85,0,1
Romance,42.91,6.77,83.13,145,10,8.42,1,1
Comedy,21.66,9.38,53.57,149,10,8.45,0,1
Comedy,79.76,10.0,60.96,87,9,9.87,0,1
Action,62.81,5.89,54.17,160,10,13.25,1,1
Action,36.56,8.99,51.68,100,2,15.0,1,1
Drama,54.36,1.8,76.54,153,7,6.27,1,0
Romance,47.49,5.48,16.16,110,4,2.74,1,0
Drama,23.97,7.26,15.43,170,1,7.79,0,0
Thriller,52.11,3.16,58.99,143,12,9.84,1,0
Thriller,31.37,10.0,44.64,166,1,11.52,0,1
Horror,21.65,8.96,41.88,97,4,12.87,0,1
Sci-Fi,1.32,5.27,86.07,93,6,10.62,1,1
Comedy,39.24,10.0,59.91,175,7,15.33,0,1
Horror,67.01,7.57,47.83,145,8,15.6,0,1
Fantasy,29.16,6.48,37.34,142,1,11.89,1,0
Romance,125.62,6.89,81.24,122,8,13.13,0,1
Comedy,76.57,4.48,55.66,164,1,13.26,0,1
Horror,89.13,6.33,36.67,100,2,14.41,0,1
Action,73.86,4.37,70.51,161,8,10.16,0,1
Fantasy,105.59,6.0,48.44,119,11,2.57,1,1
Action,26.39,6.21,40.89,84,12,9.9,1,0
Romance,1.0,6.43,24.4,172,11,9.19,1,0
Horror,36.62,5.97,74.29,105,8,6.36,0,0
Thriller,66.75,10.0,30.44,151,12,12.19,0,1
Comedy,54.55,2.77,61.25,142,2,8.14,0,0
Drama,58.26,2.39,53.15,180,3,0.0,0,0
Fantasy,89.63,4.25,53.41,153,1,9.96,1,0
Romance,61.46,5.96,70.06,82,8,13.93,0,1
Comedy,73.97,5.21,49.95,163,11,11.33,1,1
Comedy,21.81,3.17,49.37,132,4,16.13,1,0
Horror,17.14,9.82,58.12,154,10,11.79,1,1
Comedy,98.42,7.08,47.79,153,5,11.52,1,1
Sci-Fi,53.03,5.33,59.1,164,12,16.91,1,1
Thriller,31.3,4.15,43.98,117,10,20.57,0,0
Horror,31.36,5.46,50.53,174,1,5.22,0,0
Action,30.53,4.98,59.01,103,11,5.8,1,0
Horror,28.73,6.77,58.49,97,6,11.08,0,0
Romance,11.51,3.4,62.32,139,7,6.49,1,0
Drama,4.99,4.43,48.75,147,1,16.4,0,0
Action,44.15,7.71,60.0,97,11,13.15,1,1
Action,32.21,4.79,37.03,123,2,7.35,1,0
Drama,83.21,7.26,92.35,143,3,11.68,0,1
Romance,58.79,5.86,70.11,119,2,12.12,1,1
Action,57.96,5.47,19.06,149,4,11.64,0,0
Action,27.71,4.59,44.53,126,1,0.0,0,0
Thriller,46.37,6.14,54.36,139,3,17.18,1,1
Romance,60.83,5.58,42.46,120,11,15.18,0,0
Sci-Fi,71.49,1.19,67.1,178,1,17.49,1,0
Drama,47.18,8.23,25.0,149,4,4.29,1,0
Romance,82.37,6.65,45.94,81,10,1.99,0,0
Fantasy,50.24,3.13,49.5,175,10,15.09,0,0
Fantasy,73.79,5.62,99.34,165,5,13.34,0,1
Action,35.3,5.31,32.79,147,3,11.14,0,0
Drama,1.0,4.09,21.17,135,11,5.02,1,0
Thriller,58.05,7.29,30.05,140,5,10.03,0,0
Action,71.76,8.82,86.23,105,11,12.89,1,1
Comedy,67.26,5.09,66.71,113,11,9.73,1,1
Horror,62.67,5.15,59.96,100,6,0.0,1,0
Action,39.54,4.11,37.22,123,7,1.78,0,0
Action,25.8,1.55,44.11,96,11,4.36,1,0
Fantasy,66.55,6.84,41.99,130,11,17.88,1,1
Horror,62.79,9.8,34.1,136,11,9.08,1,1
Action,33.17,5.68,58.93,122,1,14.75,0,0
Romance,83.28,5.64,62.0,86,6,3.26,1,0
Action,23.51,5.86,25.8,129,6,19.56,0,0
Horror,32.49,4.98,32.33,122,9,7.65,1,0
Fantasy,99.09,3.71,63.64,131,11,16.71,0,1
Action,76.06,10.0,83.62,144,11,14.97,0,1
Horror,39.26,6.93,46.07,84,11,7.57,0,0
Fantasy,58.62,7.18,75.67,143,2,5.39,0,1
Horror,54.64,10.0,41.18,145,2,9.13,1,1
Comedy,1.0,6.4,14.5,137,5,6.82,1,0
Comedy,22.81,4.31,67.64,164,11,19.89,0,1
Fantasy,48.47,3.82,50.57,163,5,5.92,1,0
Drama,39.3,9.84,52.26,116,10,5.4,0,1
Comedy,57.41,7.59,46.94,137,10,6.25,0,0
Fantasy,83.88,5.8,21.66,90,12,2.62,1,0
Action,40.35,4.9,36.73,111,1,12.36,0,0
Sci-Fi,18.27,5.42,64.87,179,10,9.55,1,0
Romance,59.75,6.79,67.52,87,11,13.47,1,1
Drama,40.2,9.66,30.51,92,5,3.63,1,0
Thriller,45.32,5.87,57.39,131,5,8.41,0,0
Drama,41.25,4.28,57.98,135,7,18.31,1,1
Romance,117.26,3.43,9.5,109,2,3.53,0,0
Comedy,1.0,7.26,56.59,103,9,10.8,0,0
Horror,38.35,8.16,39.31,140,10,13.04,1,1
Thriller,49.89,9.68,59.12,132,11,12.04,1,1
Comedy,26.57,10.0,55.4,87,1,6.29,1,1
Sci-Fi,76.99,2.99,40.81,129,7,1.35,0,0
Horror,74.4,6.06,37.47,120,6,18.14,0,1
Fantasy,48.57,5.22,75.41,146,6,21.53,1,1
Action,41.88,5.62,24.43,106,8,1.94,0,0
Comedy,46.64,4.34,31.46,92,5,4.54,1,0
Horror,46.86,6.68,35.87,99,12,17.93,1,1
Sci-Fi,47.65,3.48,55.28,123,6,8.69,0,0
Horror,44.36,6.97,50.79,108,10,6.4,0,0
Action,57.57,8.34,42.97,105,7,7.58,0,1
Comedy,72.6,4.98,36.74,88,9,15.31,0,0
Comedy,13.09,8.27,60.08,128,10,4.29,0,0
Drama,18.48,6.27,83.04,143,10,8.49,0,1
Drama,1.0,7.89,76.74,91,2,4.29,0,1
Drama,75.99,6.63,25.42,104,9,7.85,0,0
Sci-Fi,57.51,4.15,50.35,92,8,6.51,0,0
Comedy,65.16,5.95,36.67,94,3,13.41,1,0
Thriller,7.12,5.12,55.37,126,6,8.04,1,0
Action,103.55,7.69,63.51,120,11,10.91,0,1
Comedy,31.73,5.53,68.34,126,12,6.47,1,0
Thriller,55.05,8.11,83.66,159,4,5.03,0,1
Thriller,75.63,7.03,60.23,97,1,10.38,0,1
Horror,20.39,6.4,50.33,167,8,9.33,0,0
Horror,33.61,6.5,17.0,104,10,12.81,1,0
Fantasy,55.38,7.97,61.32,124,11,10.77,1,1
Comedy,135.72,7.33,62.49,141,6,20.74,1,1
Action,59.03,7.91,84.98,111,8,11.89,1,1
Action,98.19,3.94,79.63,124,12,17.36,0,1
Sci-Fi,86.17,4.91,50.9,99,2,6.14,0,0
Action,61.04,6.01,35.1,137,10,10.94,0,0
Drama,20.32,5.47,30.01,149,3,3.12,1,0
Drama,81.79,4.12,74.86,131,8,5.06,1,1
Sci-Fi,5.06,8.51,36.55,100,9,2.44,1,0
Romance,98.03,3.72,40.04,84,6,4.08,0,0
Action,56.0,7.96,27.05,100,12,4.44,0,0
Horror,1.0,9.56,96.84,115,1,0.71,1,1
Thriller,39.78,4.99,59.85,120,4,11.17,0,0
Sci-Fi,69.62,1.57,56.06,178,7,1.14,0,0
Romance,42.89,5.05,59.29,168,6,1.36,1,0
Romance,71.45,4.46,37.28,113,1,16.94,1,0
Comedy,24.5,3.19,73.84,176,7,10.89,1,0
Sci-Fi,10.82,6.84,46.99,137,3,3.26,1,0
Drama,47.86,6.88,53.72,102,9,10.96,0,1
Thriller,50.95,6.93,100.0,154,5,10.0,1,1
Romance,39.55,4.14,36.93,85,11,5.57,1,0
Sci-Fi,86.82,8.16,61.72,169,2,13.14,0,1
Romance,24.49,4.69,95.91,89,1,5.86,0,1
Thriller,59.39,3.9,43.99,133,8,17.83,0,0
Romance,52.04,3.82,37.95,133,1,14.14,0,0
Sci-Fi,3.3,4.51,51.69,114,10,5.89,1,0
Sci-Fi,10.43,6.22,32.07,140,6,13.53,1,0
Thriller,50.36,3.9,84.96,123,11,6.36,0,0
Horror,109.44,4.37,54.94,80,7,8.79,0,0
Sci-Fi,67.38,9.17,65.15,151,3,5.88,1,1
Sci-Fi,1.0,4.71,53.28,103,6,8.58,1,0
Thriller,1.0,7.76,52.6,164,10,8.89,0,0
Horror,71.99,6.17,41.33,106,7,6.65,0,0
Sci-Fi,47.11,7.91,93.92,172,1,10.65,0,1
Drama,84.24,6.42,49.6,118,5,9.4,0,1
Drama,23.58,6.02,26.7,91,1,16.13,1,0
Romance,60.51,5.34,51.76,167,5,0.0,0,0
Romance,75.39,4.41,63.96,173,9,5.33,0,0
Drama,36.58,6.51,53.42,135,1,12.26,0,0
Comedy,37.22,4.91,83.67,91,6,8.6,0,1
Thriller,50.76,2.11,0.0,100,5,9.88,1,0
Drama,66.28,6.69,21.69,134,9,7.24,1,0
Fantasy,49.57,5.79,45.3,123,12,18.79,0,1
Drama,79.22,6.76,28.09,133,2,12.49,1,0
Fantasy,36.14,6.0,74.29,94,2,20.77,0,1
Drama,10.15,7.57,54.95,106,6,8.57,1,0
Fantasy,109.31,6.9,29.99,83,11,10.64,1,1
Fantasy,31.86,5.74,70.0,145,10,4.02,0,0
Sci-Fi,32.95,6.8,72.04,137,2,9.37,0,1
Romance,48.03,8.64,57.79,134,12,8.99,0,1
Romance,52.02,4.3,27.8,88,7,13.01,1,0
Drama,38.4,2.02,35.93,169,11,6.83,1,0
Sci-Fi,49.48,7.9,30.01,165,1,6.0,0,0
Romance,48.81,7.23,53.59,111,2,6.67,0,0
Drama,55.24,10.0,64.83,171,7,7.28,1,1
Romance,1.0,6.22,58.14,81,8,14.29,0,0
Romance,106.43,5.48,40.96,173,3,3.93,1,0
Sci-Fi,45.58,6.9,84.68,109,6,14.6,1,1
Thriller,67.42,7.73,55.58,118,6,5.52,0,1
Drama,8.66,7.23,34.55,100,11,15.56,1,0
Horror,35.87,5.54,34.99,136,7,18.19,1,0
Drama,29.83,8.57,67.87,97,10,1.33,0,1
Comedy,94.09,4.05,57.58,129,1,11.99,0,1
Drama,32.43,4.67,44.63,116,6,9.23,1,0
Thriller,72.74,9.17,67.63,119,5,10.53,1,1
Action,30.49,7.4,55.88,103,12,2.01,0,0
Horror,36.42,5.16,39.67,159,9,4.7,0,0
Sci-Fi,42.63,6.28,30.96,130,1,17.2,1,0
Action,88.52,10.0,47.21,95,10,10.75,1,1
Fantasy,1.0,5.57,41.73,155,6,9.34,1,0
Drama,10.53,4.61,42.02,166,8,18.26,1,0
Thriller,1.0,6.15,15.97,151,3,16.36,1,0
Fantasy,17.37,7.8,57.28,129,11,7.69,0,0
Fantasy,25.65,6.77,63.29,139,1,20.7,1,1
Horror,1.57,8.12,43.69,125,11,15.83,0,0
Horror,27.98,4.33,80.24,80,1,12.7,0,0
Drama,1.0,3.65,41.9,154,5,6.62,1,0
Comedy,19.46,8.22,67.58,143,5,14.09,0,1
